number of elments,reverse,almost sorted,shuffed,sorted
49,0.002015509999999887,0.0038121300000000247,0.004200118999999836,8.121000000005374e-05
50,0.0019393999999999245,0.003941420000000084,0.0039932890000000665,8.165100000012693e-05
51,0.0020589399999999536,0.0036127599999999926,0.00429687099999998,8.652900000005737e-05
52,0.0020924309999998947,0.004197738000000006,0.004802777999999952,8.581099999993569e-05
53,0.002251990999999842,0.004177171000000035,0.00468325100000011,0.00010164900000009247
54,0.0022875089999998544,0.00441347000000003,0.004917194999999985,9.145899999984941e-05
55,0.0023732899999999724,0.004979930000000188,0.004907639000000019,9.318099999999774e-05
56,0.002487590000000095,0.004591089999999909,0.005149179999999864,8.818099999996498e-05
57,0.0026267600000000613,0.004894259999999928,0.005775819000000126,0.00010093899999996658
58,0.0026414710000000063,0.005455310999999963,0.005573378000000018,0.00010935100000009079
59,0.0029415180000000873,0.005324048000000303,0.005871492000000256,0.0001204400000003325
60,0.0028308390000000294,0.005491839999999915,0.0063477999999999035,0.00010529899999989212
61,0.0030000399999998706,0.006446589999999919,0.006612570000000151,0.00013030099999999933
62,0.0030438710000000313,0.006604218999999745,0.006760222000000038,9.635999999968448e-05
63,0.0030831089999998618,0.005421578999999621,0.0066091389999995975,0.00010299999999974219
64,0.0031710089999998914,0.0069232100000000685,0.006769680000000111,9.158999999980821e-05
65,0.0033273890000002915,0.006432309000000025,0.0067061999999999955,0.00010728899999978836
66,0.003370790000000401,0.005829150000000283,0.007059920000000108,0.0001139110000001331
67,0.003515579000000102,0.006915240999999739,0.007002541000000306,0.00011563999999975039
68,0.003505841000000398,0.005597778999999914,0.007543387999999762,0.00010734099999964997
69,0.003743527999999774,0.00796513199999982,0.007746161000000029,0.00011854000000033338
70,0.003469739999999888,0.006823079999999759,0.0077168999999996934,0.00010582100000000594
71,0.0035584800000001415,0.006556991999999706,0.0071353400000000455,0.00011916899999997455
72,0.0037087389999999054,0.006787559999999804,0.007643440000000279,0.00011244000000010246
73,0.0039559999999996265,0.007663909999999774,0.00808213999999996,0.00011629000000024092
74,0.00388667999999992,0.007768650000000044,0.008228080000000304,0.00011201000000005124
75,0.004316109999999984,0.008072659999999843,0.008790489999999984,0.00012553000000004033
76,0.004321580000000047,0.009378129999999985,0.009598999999999691,0.0001618000000003228
77,0.004513489999999898,0.00948325999999966,0.009745690000000362,0.00013291999999998083
78,0.004724709999999632,0.007530550000000247,0.009479859999999896,0.00011077999999997701
79,0.004829009999999911,0.009976530000000317,0.009850779999999837,0.00014400999999963915
80,0.004851780000000083,0.009510589999999652,0.009425839999999575,0.00013125999999985538
81,0.004862790000000672,0.010127460000000532,0.011054449999999605,0.00017119000000054285
82,0.00513940799999979,0.009449609999999886,0.011586120999999672,0.0001393089999996988
83,0.005085970999999745,0.011251950000000122,0.011003430999999786,0.00015054899999977778
84,0.005119402000000051,0.009485811000000233,0.011238928000000037,0.00017087999999976233
85,0.005283200000000043,0.009100619999999893,0.011612308000000127,0.00014773099999931816
86,0.005582691999999945,0.01031727899999968,0.011298279000000022,0.000151919999999528
87,0.005853630999999915,0.010240706000000266,0.011561889000000214,0.0001388509999999954
88,0.005758260000000348,0.010387730000000595,0.011995879999999737,0.000151649000000198
89,0.006026768999999987,0.008706177999999731,0.012335701000000476,0.00015608899999985937
90,0.00602332999999966,0.00920788900000069,0.01330337500000045,0.00013633899999998533
91,0.0061958510000001965,0.011142839999999765,0.013543491000000074,0.00015384900000015023
92,0.006090198000000768,0.011597499999999705,0.013433339999999738,0.00013490999999987707
93,0.006115600000000221,0.011015129999999651,0.012672300000000192,0.00013339000000023304
94,0.006175630000000432,0.011662799999999862,0.012776640000000228,0.00015409000000055073
95,0.006490139999999478,0.0099185799999999,0.012953490000000123,0.00015888999999980058
96,0.006263009999999625,0.012933850000000469,0.012907930000000789,0.00013754999999981976
97,0.00658351999999951,0.011391439999999697,0.013191920000000579,0.00014394000000006457
98,0.00728490000000015,0.015818530000000663,0.01542708000000026,0.00016385000000074257
99,0.007554199999999511,0.012270019999999882,0.01656078999999977,0.00016817000000024507
100,0.007666519999999899,0.01425675900000023,0.015640269999999568,0.00017178000000050986
101,0.008009399999998834,0.014910211000000118,0.017140759000000116,0.00019687999999895567
102,0.007851619000000198,0.013362795000000816,0.016803448000000998,0.0001791710000009772
103,0.008020739000000887,0.013523440000000164,0.01618382199999857,0.00016865099999918698
104,0.008073416000000222,0.011869189000000446,0.016301336999999805,0.00014647999999972683
105,0.008083869000000021,0.015354332000001136,0.01765090100000144,0.0001763700000001478
106,0.00785954000000011,0.01592639099999893,0.017818431000000245,0.00018005899999984365
107,0.008128756999999709,0.011605661000000822,0.016877180999999908,0.00019441000000064435
108,0.007872719999999944,0.018263398999998515,0.018198319999999768,0.00018409900000015966
109,0.00829728000000074,0.017119991000001278,0.016749117999999896,0.00015550999999902615
110,0.00883211000000017,0.015984749999999437,0.01787417999999974,0.0002827999999990283
111,0.008892899999999315,0.017508870000000343,0.01806164999999993,0.00018746999999841307
